config,src,tgt,,sc_model_id,device,early_stop,save_top_k,max_steps,warmup_steps,batch_size (train/val/test),effective_batch,val_interval,learning_rate,weight_decay,gradient_clip_val,train,val,test,,n_gpus,seed,qos,,append_src_token,append_tgt_token,upsample,,train_data,val_data,test_data,,spm,do_char,,save,test_checkpoint,remove_special_toks,verbose,little_verbose,from_pretrained,,encoder_layers,encoder_attention_heads,encoder_ffn_dim,encoder_layerdrop,,decoder_layers,decoder_attention_heads,decoder_ffn_dim,decoder_layerdrop,,max_position_embeddings,max_length,d_model,dropout,activation_function,,date
aeb-en/FINETUNE.SC_ar2aeb-en>>aeb-en.yaml,aeb,en,,AR-AEB-RNN-0-RNN-195,cuda,10,10,60000,3000,128/128/128,128/128/128,0.25,5e-05,0.0,1.0,"169,861",997,"1,012",,1,1000,dw87,,False,False,False,,data/CharLOTTE/PLAIN/aeb-en/train.csv,data/CharLOTTE/PLAIN/aeb-en/val.csv,data/CharLOTTE/PLAIN/aeb-en/test.csv,,SC_ar2aeb-aeb_en/SC_ar2aeb-aeb_en/SC_ar2aeb-aeb_en,False,,aeb-en/FINETUNE.SC_ar2aeb-en>>aeb-en,,True,False,True,aeb-en/PRETRAIN.SC_ar2aeb-en_TRIAL_s=1000,,6,8,2048,0.0,,6,8,2048,0.0,,512,512,512,0.1,gelu,,2026-02-16 20:19:35
aeb-en/FINETUNE.ar-en>>aeb-en.yaml,aeb,en,,,cuda,10,10,60000,3000,128/128/128,128/128/128,0.25,5e-05,0.0,1.0,"169,861",997,"1,012",,1,1000,dw87,,False,False,False,,data/CharLOTTE/PLAIN/aeb-en/train.csv,data/CharLOTTE/PLAIN/aeb-en/val.csv,data/CharLOTTE/PLAIN/aeb-en/test.csv,,ar-aeb_en/ar-aeb_en/ar-aeb_en,False,,aeb-en/FINETUNE.ar-en>>aeb-en,,True,False,True,aeb-en/PRETRAIN.ar-en_TRIAL_s=1000,,6,8,2048,0.0,,6,8,2048,0.0,,512,512,512,0.1,gelu,,2026-02-16 20:19:35
aeb-en/NMT.aeb-en.yaml,aeb,en,,,cuda,10,10,60000,3000,128/128/128,128/128/128,0.25,5e-05,0.0,1.0,"169,861",997,"1,012",,1,1000,dw87,,False,False,False,,data/CharLOTTE/PLAIN/aeb-en/train.csv,data/CharLOTTE/PLAIN/aeb-en/val.csv,data/CharLOTTE/PLAIN/aeb-en/test.csv,,ar-aeb_en/ar-aeb_en/ar-aeb_en,False,,aeb-en/NMT.aeb-en,,True,False,True,,,6,8,2048,0.0,,6,8,2048,0.0,,512,512,512,0.1,gelu,,2026-02-16 20:19:35
aeb-en/PRETRAIN.SC_ar2aeb-en.yaml,ar,en,,AR-AEB-RNN-0-RNN-195,cuda,10,10,350000,17500,128/128/128,512/512/512,0.25,0.0005,0.01,1.0,"9,999,960",997,"1,012",,4,1000,dw87,,False,False,False,,data/CharLOTTE/SC/SC_ar2aeb-en/train.csv,data/CharLOTTE/SC/SC_ar2aeb-en/val.csv,data/CharLOTTE/SC/SC_ar2aeb-en/test.csv,,SC_ar2aeb-aeb_en/SC_ar2aeb-aeb_en/SC_ar2aeb-aeb_en,False,,aeb-en/PRETRAIN.SC_ar2aeb-en,,True,False,True,,,6,8,2048,0.0,,6,8,2048,0.0,,512,512,512,0.1,gelu,,2026-02-16 20:19:35
aeb-en/PRETRAIN.ar-en.yaml,ar,en,,,cuda,10,10,350000,17500,128/128/128,512/512/512,0.25,0.0005,0.01,1.0,"9,999,960",997,"1,012",,4,1000,dw87,,False,False,False,,data/CharLOTTE/PLAIN/ar-en/train.csv,data/CharLOTTE/PLAIN/ar-en/val.csv,data/CharLOTTE/PLAIN/ar-en/test.csv,,ar-aeb_en/ar-aeb_en/ar-aeb_en,False,,aeb-en/PRETRAIN.ar-en,,True,False,True,,,6,8,2048,0.0,,6,8,2048,0.0,,512,512,512,0.1,gelu,,2026-02-16 20:19:35

an-en/AUGMENT.SC_es2an-en.yaml,an,en,,ES-AN-RNN-0-RNN-213,cuda,10,10,350000,17500,128/128/128,512/512/512,0.25,0.0005,0.01,1.0,"10,020,082",997,"1,012",,4,1000,dw87,,False,False,True,,data/CharLOTTE/augmented_data/SC/SC_es2an-en/train.csv,data/CharLOTTE/PLAIN/an-en/val.csv,data/CharLOTTE/PLAIN/an-en/test.csv,,SC_es2an-an_en/SC_es2an-an_en/SC_es2an-an_en,False,,an-en/AUGMENT.SC_es2an-en,,True,False,True,,,6,8,2048,0.0,,6,8,2048,0.0,,512,512,512,0.1,gelu,,2026-02-16 20:19:35
an-en/AUGMENT.an-en.yaml,an,en,,,cuda,10,10,350000,17500,128/128/128,512/512/512,0.25,0.0005,0.01,1.0,"10,020,082",997,"1,012",,4,1000,dw87,,False,False,True,,data/CharLOTTE/augmented_data/PLAIN/an-en/train.csv,data/CharLOTTE/PLAIN/an-en/val.csv,data/CharLOTTE/PLAIN/an-en/test.csv,,es-an_en/es-an_en/es-an_en,False,,an-en/AUGMENT.an-en,,True,False,True,,,6,8,2048,0.0,,6,8,2048,0.0,,512,512,512,0.1,gelu,,2026-02-16 20:19:35
an-en/FINETUNE.SC_es2an-en>>an-en.yaml,an,en,,ES-AN-RNN-0-RNN-213,cuda,5,10,20000,1000,32/32/32,32/32/32,0.5,5e-05,0.0,1.0,"20,089",997,"1,012",,1,1000,dw87,,False,False,False,,data/CharLOTTE/PLAIN/an-en/train.csv,data/CharLOTTE/PLAIN/an-en/val.csv,data/CharLOTTE/PLAIN/an-en/test.csv,,SC_es2an-an_en/SC_es2an-an_en/SC_es2an-an_en,False,,an-en/FINETUNE.SC_es2an-en>>an-en,,True,False,True,an-en/PRETRAIN.SC_es2an-en_TRIAL_s=1000,,6,8,2048,0.0,,6,8,2048,0.0,,512,512,512,0.1,gelu,,2026-02-16 20:19:35
an-en/FINETUNE.es-en>>an-en.yaml,an,en,,,cuda,5,10,20000,1000,32/32/32,32/32/32,0.5,5e-05,0.0,1.0,"20,089",997,"1,012",,1,1000,dw87,,False,False,False,,data/CharLOTTE/PLAIN/an-en/train.csv,data/CharLOTTE/PLAIN/an-en/val.csv,data/CharLOTTE/PLAIN/an-en/test.csv,,es-an_en/es-an_en/es-an_en,False,,an-en/FINETUNE.es-en>>an-en,,True,False,True,an-en/PRETRAIN.es-en_TRIAL_s=1000,,6,8,2048,0.0,,6,8,2048,0.0,,512,512,512,0.1,gelu,,2026-02-16 20:19:35
